jaccard_at_5,jaccard_at_10,kendall_tau,n_runs,instance,true_class,pred_label
0.2791005291005291,0.29098214784489296,0.253201379517169,10,1571748,Analysis,0
0.3295414462081129,0.3603725250784074,0.2962063277852751,10,1124981,Analysis,0
0.2565255731922399,0.2979059430039822,0.26813615234667865,10,1259370,Analysis,0
0.2841269841269841,0.35641344857031126,0.29584645374119056,10,1016305,Analysis,0
0.23051146384479715,0.28277071512365637,0.20059979007347423,10,1764370,Analysis,0
0.688888888888889,0.5311651311651311,0.7316539211276053,10,1046218,Analysis,8
0.1911816578483245,0.3221173429635762,0.30934173039436197,10,1781662,Analysis,0
0.6962962962962964,0.5288563288563289,0.7480281901334535,10,1045716,Analysis,8
0.6814814814814815,0.5075073075073075,0.7439496176338279,10,1046503,Analysis,8
0.22901234567901235,0.3562354856472503,0.2973459289248763,10,1049376,Analysis,0
0.2171957671957672,0.3324064098573902,0.3060428849902534,10,1048013,Analysis,0
0.3655202821869488,0.36981221392986097,0.31701904333483283,10,1047359,Analysis,0
0.4015873015873016,0.4636141636141635,0.3204978257609836,10,1299541,Analysis,9
0.688888888888889,0.5387131387131388,0.7324336482231218,10,1046184,Analysis,8
0.23386243386243383,0.29754403185775735,0.25446093867146496,10,1631161,Analysis,0
0.19647266313932982,0.3408396977024428,0.258659469185785,10,1046933,Analysis,0
0.2615520282186949,0.29127908173315803,0.27551357025041234,10,1713014,Analysis,0
0.24153439153439157,0.3616003096395254,0.2861898335582546,10,1048616,Analysis,0
0.24814814814814815,0.3094631584827663,0.26639676113360317,10,1455448,Analysis,0
0.27266313932980596,0.35621593366691406,0.32823511770880187,10,1048024,Analysis,0
0.2879188712522046,0.3494469582704877,0.30796221322537115,10,1712869,Analysis,0
0.2715167548500882,0.396014660720543,0.2866096866096866,10,1501463,Analysis,0
0.309700176366843,0.3652445593622064,0.3212775528565002,10,996895,Analysis,0
0.24638447971781305,0.3160549689961455,0.2623181886339781,10,1454900,Analysis,0
0.1591710758377425,0.2555763045959124,0.2052181736392263,10,1455855,Analysis,0
0.17363315696649026,0.3052211767898042,0.2681961313540261,10,1131152,Analysis,0
0.256084656084656,0.3435318856887485,0.289188783925626,10,1896250,Analysis,0
0.27380952380952384,0.3575905575905577,0.2918878392562603,10,1877227,Analysis,0
0.258994708994709,0.3596526929860263,0.31995801469485685,10,1049130,Analysis,0
0.6814814814814815,0.4937710437710438,0.7221772379667118,10,1046275,Analysis,8
0.2970899470899471,0.32446990192088226,0.22543109911530965,10,1764718,Analysis,0
0.1925925925925926,0.35148794560559266,0.28043184885290146,10,1565899,Analysis,0
0.3178130511463845,0.30677615775654987,0.2987254460938672,10,1047324,Analysis,0
0.25590828924162257,0.3556166056166057,0.2961463487779277,10,1048627,Analysis,0
0.35273368606701944,0.40478225478225477,0.32955465587044536,10,1877097,Analysis,0
0.2156966490299824,0.34242307209283473,0.27965212175738496,10,1630576,Analysis,0
0.18650793650793648,0.2780264932483715,0.2432448642974959,10,1260439,Analysis,0
0.23209876543209876,0.3247955022464826,0.265377118008697,10,1254953,Analysis,0
0.20008818342151674,0.2987694222988341,0.29380716749137803,10,1454641,Analysis,0
0.27257495590828923,0.3973485120543944,0.3341130604288499,10,1074211,Analysis,0
0.2626984126984127,0.3104004564788878,0.30622282201229567,10,1630974,Analysis,0
0.21058201058201054,0.2780335496021771,0.23328834907782278,10,1630954,Analysis,0
0.2597883597883598,0.2668504048793006,0.22633078422552105,10,1455078,Analysis,0
0.2554673721340388,0.2794118277090413,0.20029989503673715,10,1127056,Analysis,0
0.17821869488536157,0.32167516579281286,0.30004498425551057,10,1536023,Analysis,0
0.17601410934744266,0.2695922813569872,0.23028939871045132,10,1452854,Analysis,0
0.22186948853615515,0.31543608896550074,0.27239466186834604,10,1455677,Analysis,0
0.2980599647266314,0.30684079899766176,0.28541010646273807,10,1260013,Analysis,0
0.3826278659611993,0.37966673849026794,0.29830559304243515,10,1259962,Analysis,0
0.20864197530864198,0.3812719959778783,0.3198380566801621,10,1047484,Analysis,0
0.20017636684303347,0.2919741115819547,0.22507122507122507,10,1016209,Analysis,0
0.2841269841269841,0.3303714078223882,0.27929224771330036,10,1047337,Analysis,0
0.21746031746031744,0.319668893198305,0.26153846153846155,10,1258940,Analysis,0
0.2450617283950617,0.34599583423112834,0.26363772679562153,10,1896173,Analysis,0
0.6814814814814816,0.5432419432419433,0.7345928924876292,10,1046398,Analysis,8
0.29814814814814816,0.42501017501017485,0.30160443844654367,10,1712962,Analysis,0
0.18818342151675485,0.3629246570423041,0.28906882591093114,10,1016533,Analysis,0
0.6962962962962963,0.5138176638176637,0.7245164192532613,10,1046704,Analysis,8
0.19876543209876543,0.3100620875130679,0.26339781076623187,10,1765410,Analysis,0
0.34832451499118167,0.37453015394191874,0.312700554805818,10,1125106,Analysis,0
0.2459435626102293,0.3013139728826003,0.2764732343679712,10,1048605,Analysis,0
0.2187830687830688,0.3736754530872177,0.3116809116809117,10,1877136,Analysis,0
0.2526455026455026,0.3103773133184897,0.2914080071974809,10,1765393,Analysis,0
0.28791887125220456,0.33485599367952307,0.2840305892937472,10,1630935,Analysis,0
0.29365079365079366,0.36236682707270945,0.312700554805818,10,1049025,Analysis,0
0.20396825396825397,0.27709305944600066,0.21517468885889934,10,1891053,Analysis,0
0.3179012345679012,0.32145975799226567,0.22405158194631875,10,1016186,Analysis,0
0.24735449735449735,0.31877828054298646,0.23520767731294048,10,1259329,Analysis,0
0.6740740740740742,0.4912494912494912,0.7267956215324636,10,1046381,Analysis,8
0.2613756613756614,0.3616342263401087,0.2780926675663518,10,1454738,Analysis,0
0.3189594356261023,0.3606370753429577,0.28331084120557803,10,1016450,Analysis,0
0.5206349206349206,0.47155067155067143,0.7224771330034487,10,1796063,Analysis,8
0.18474426807760136,0.3192746614315242,0.23442795021742388,10,1883859,Analysis,0
0.22495590828924159,0.3174048536793635,0.22033288349077826,10,1015787,Analysis,0
0.18809523809523804,0.35459757152223614,0.2741940320887689,10,1263090,Analysis,0
0.3044973544973545,0.3580586080586081,0.32097765781976306,10,1016139,Analysis,0
0.16966490299823633,0.33456079142353656,0.23154895786474733,10,1037615,Analysis,0
0.3149911816578483,0.3567247567247567,0.2788723946618683,10,1455018,Analysis,0
0.299294532627866,0.3723491831334968,0.29002849002849007,10,1628926,Analysis,0
0.26754850088183424,0.3537264478440949,0.3020242914979757,10,1048591,Analysis,0
0.31040564373897706,0.38320524791113014,0.3185185185185186,10,1015871,Analysis,0
0.17910052910052907,0.30403728442944133,0.2855300644774329,10,1764848,Analysis,0
0.21631393298059962,0.2806994652711887,0.25727995201679416,10,1016058,Analysis,0
0.28386243386243387,0.34889830576105085,0.26165841955315644,10,1047814,Analysis,0
0.20458553791887124,0.25771225869265085,0.2194331983805668,10,1630914,Analysis,0
0.6962962962962963,0.49079069079069065,0.7308741940320888,10,1045639,Analysis,8
0.23359788359788358,0.3391821685939333,0.25853951117109014,10,1877029,Analysis,0
0.20590828924162258,0.3333153774330245,0.2887689308741941,10,1048136,Analysis,0
0.25573192239858905,0.32526594683457427,0.24840305892937475,10,1455797,Analysis,0
0.27821869488536155,0.4342583342583342,0.3159394212025791,10,1712978,Analysis,0
0.2116402116402116,0.3817457052751171,0.31593942120257906,10,1388170,Analysis,0
0.8444444444444444,0.8175084175084179,0.5745689008846905,10,1493190,Analysis,2
